date,code,weight
2025-09-02,601818,0.1
2025-09-03,600362,0.1
2025-09-03,600956,0.1
2025-09-03,600548,0.1
2025-09-03,688185,0.1
2025-09-03,002803,0.1
2025-09-03,601333,0.1
2025-09-03,601898,0.1
2025-09-03,600938,0.1
2025-09-03,601319,0.1
2025-09-03,002865,0.1
2025-09-04,601333,0.1
2025-09-04,600938,0.1
2025-09-04,600362,0.1
2025-09-04,600988,0.1
2025-09-04,601898,0.1
2025-09-04,600956,0.1
2025-09-04,002803,0.1
2025-09-04,601818,0.1
2025-09-04,600548,0.1
2025-09-04,001236,0.1
2025-09-05,601333,0.1
2025-09-05,600196,0.1
2025-09-05,002202,0.1
2025-09-05,601330,0.1
2025-09-05,600938,0.1
2025-09-05,300759,0.1
2025-09-05,688185,0.1
2025-09-05,601818,0.1
2025-09-05,688428,0.1
2025-09-05,600988,0.1
2025-09-08,688185,0.1
2025-09-08,601333,0.1
2025-09-08,688180,0.1
2025-09-08,600196,0.1
2025-09-08,001289,0.1
2025-09-08,600988,0.1
2025-09-08,688428,0.1
2025-09-08,601865,0.1
2025-09-08,300759,0.1
2025-09-08,600026,0.1
2025-09-09,600196,0.1
2025-09-09,688180,0.1
2025-09-09,001289,0.1
2025-09-09,688185,0.1
2025-09-09,600988,0.1
2025-09-09,688428,0.1
2025-09-09,002202,0.1
2025-09-09,300759,0.1
2025-09-09,601330,0.1
2025-09-09,601865,0.1
2025-09-10,002202,0.1
2025-09-10,688347,0.1
2025-09-10,600988,0.1
2025-09-10,001289,0.1
2025-09-10,688428,0.1
2025-09-10,601333,0.1
2025-09-10,600196,0.1
2025-09-10,601330,0.1
2025-09-10,601211,0.1
2025-09-10,601788,0.1
2025-09-11,001289,0.1
2025-09-11,600196,0.1
2025-09-11,600988,0.1
2025-09-11,688385,0.1
2025-09-11,601330,0.1
2025-09-11,002202,0.1
2025-09-11,601788,0.1
2025-09-11,601333,0.1
2025-09-11,600362,0.1
2025-09-11,000063,0.1
2025-09-12,600196,0.1
2025-09-12,688385,0.1
2025-09-12,002202,0.1
2025-09-12,001289,0.1
2025-09-12,601211,0.1
2025-09-12,605198,0.1
2025-09-12,688347,0.1
2025-09-12,601788,0.1
2025-09-12,600988,0.1
2025-09-12,000776,0.1
2025-09-15,600196,0.1
2025-09-15,688505,0.1
2025-09-15,002202,0.1
2025-09-15,601319,0.1
2025-09-15,601330,0.1
2025-09-15,601788,0.1
2025-09-15,605198,0.1
2025-09-15,600685,0.1
2025-09-15,600547,0.1
2025-09-15,601869,0.1
2025-09-16,601880,0.1
2025-09-16,603906,0.1
2025-09-16,688505,0.1
2025-09-16,600196,0.1
2025-09-16,600547,0.1
2025-09-16,688385,0.1
2025-09-16,600685,0.1
2025-09-16,601211,0.1
2025-09-16,300759,0.1
2025-09-16,600026,0.1
